# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol d^-1]
# Region: surface domain outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: max ponded depth [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface-ponded_depth
# Number of Vectors: 1
# =============================================================================
"time [d]","net runoff [mol d^-1]","surface water content [mol]","subsurface water content [mol]","max ponded depth [m]"
1.067843489241e-01,1.748395913328e+05,2.098064151153e+08,9.426281074685e+12,2.029678798619e-01
1.128428006761e-01,2.456600718717e+05,2.223982215990e+08,9.426288770813e+12,2.153655606891e-01
1.189012524282e-01,2.736221092061e+05,2.351159308575e+08,9.426296312373e+12,2.274705689505e-01
1.249597041803e-01,3.023629861405e+05,2.477580788097e+08,9.426303901222e+12,2.392916618525e-01
1.310181559324e-01,3.317990523030e+05,2.606115951384e+08,9.426311248723e+12,2.508378157529e-01
1.370766076845e-01,3.618416333129e+05,2.737620612387e+08,9.426318269234e+12,2.621137854000e-01
1.446496723747e-01,5.000250951117e+05,2.905172351017e+08,9.426326679628e+12,2.757891742893e-01
1.541160032373e-01,7.007554458798e+05,3.124845653960e+08,9.426336094667e+12,2.922281046858e-01
1.612157513843e-01,5.688502958246e+05,3.299308073416e+08,9.426342139591e+12,3.041849922379e-01
1.665405624945e-01,4.512323180620e+05,3.431167397280e+08,9.426346548861e+12,3.129414853492e-01
1.718653736048e-01,4.759176790654e+05,3.562203513725e+08,9.426351016182e+12,3.214861073322e-01
1.785213874926e-01,6.334208999358e+05,3.727070787585e+08,9.426356453953e+12,3.318382525294e-01
1.851774013804e-01,6.719167430484e+05,3.891333164368e+08,9.426361913844e+12,3.418643432365e-01
1.901694117962e-01,5.256189526426e+05,4.017804467949e+08,9.426365656147e+12,3.492004908353e-01
1.951614222121e-01,5.472173557961e+05,4.145079871539e+08,9.426369299798e+12,3.563554018642e-01
1.989054300240e-01,4.225461256123e+05,4.241504821439e+08,9.426371923614e+12,3.616230196590e-01
2.026494378359e-01,4.346227488553e+05,4.338110985548e+08,9.426374517867e+12,3.667955563477e-01
2.073294476007e-01,5.619840476976e+05,4.460734405064e+08,9.426377554676e+12,3.731199742515e-01
2.120094573656e-01,5.805389554954e+05,4.586514336795e+08,9.426380257253e+12,3.793097935441e-01
2.178594695717e-01,7.542797977306e+05,4.746689278720e+08,9.426383308959e+12,3.868471127612e-01
2.237094817777e-01,7.825146493071e+05,4.910777280266e+08,9.426385944050e+12,3.942027777186e-01
2.295594939838e-01,8.103234902032e+05,5.077554225325e+08,9.426388282322e+12,4.004101097415e-01
2.354095061899e-01,8.376532162931e+05,5.245717830120e+08,9.426390454780e+12,4.054791138311e-01
2.412595183960e-01,8.644568387124e+05,5.414060236521e+08,9.426392580219e+12,4.097489579356e-01
2.471095306020e-01,8.906901002681e+05,5.582414597460e+08,9.426394680499e+12,4.134260634601e-01
2.514970397566e-01,6.825478709190e+05,5.709575662106e+08,9.426396151637e+12,4.159092151825e-01
2.569814261998e-01,8.753321521802e+05,5.867909667656e+08,9.426398030510e+12,4.186591456700e-01
2.621230384903e-01,8.396506058305e+05,6.016377985620e+08,9.426399769312e+12,4.209682634413e-01
2.672646507808e-01,8.582159960484e+05,6.164403591668e+08,9.426401529671e+12,4.230392193722e-01
2.724062630713e-01,8.763062635630e+05,6.312307873830e+08,9.426403287898e+12,4.248964685627e-01
2.775478753618e-01,8.939105404329e+05,6.461704413773e+08,9.426404877517e+12,4.265602336616e-01
2.826894876523e-01,9.110197003307e+05,6.612512146646e+08,9.426406311830e+12,4.280478112063e-01
2.891165030154e-01,1.164494085618e+06,6.803390218392e+08,9.426407841137e+12,4.296612452840e-01
2.971502722193e-01,1.493818837048e+06,7.042236216525e+08,9.426409690030e+12,4.313361958471e-01
3.051840414232e-01,1.530081283704e+06,7.284312557056e+08,9.426411178618e+12,4.327157290914e-01
3.112093683261e-01,1.167168199447e+06,7.467954266208e+08,9.426412068578e+12,4.336021563663e-01
3.187410269548e-01,1.487948870367e+06,7.700464444252e+08,9.426412850635e+12,4.345078183171e-01
3.262726855835e-01,1.515339981030e+06,7.934040964935e+08,9.426413504757e+12,4.352346061919e-01
3.356872588693e-01,1.933843905815e+06,8.226880334971e+08,9.426414192844e+12,4.358987147175e-01
3.451018321551e-01,1.970503420000e+06,8.520279254038e+08,9.426414789587e+12,4.363498458687e-01
3.545164054409e-01,2.004233575797e+06,8.814481667615e+08,9.426415268950e+12,4.366224830719e-01
3.662846220482e-01,2.552549822909e+06,9.187331161953e+08,9.426415314057e+12,4.367158517388e-01
3.751107845036e-01,1.938858814881e+06,9.468199247545e+08,9.426415201339e+12,4.366663401421e-01
3.839369469591e-01,1.961258243280e+06,9.752117278253e+08,9.426414761230e+12,4.365205511587e-01
3.949696500284e-01,2.482956819818e+06,1.010906007569e+09,9.426413975173e+12,4.362253445555e-01
4.060023530978e-01,2.511312462920e+06,1.047320667990e+09,9.426412437126e+12,4.358382674898e-01
4.142768803997e-01,1.898387345486e+06,1.075165375616e+09,9.426410737369e+12,4.355088971416e-01
4.225514077017e-01,1.912502154915e+06,1.103065114715e+09,9.426408968301e+12,4.351498430752e-01
4.328945668292e-01,2.412005119803e+06,1.138065896684e+09,9.426406609747e+12,4.346693638479e-01
4.458235157386e-01,3.050004734741e+06,1.181911066567e+09,9.426403532491e+12,4.340515545017e-01
4.587524646479e-01,3.090680569697e+06,1.225793333138e+09,9.426400376250e+12,4.334317605221e-01
4.716814135573e-01,3.142430972339e+06,1.270070103712e+09,9.426396774673e+12,4.328171785586e-01
4.846103624667e-01,3.211044988689e+06,1.314536652040e+09,9.426392915377e+12,4.322183847533e-01
4.975393113760e-01,3.305063923252e+06,1.359139146191e+09,9.426388823814e+12,4.316403513940e-01
5.137004975127e-01,4.345317764576e+06,1.414809555666e+09,9.426383580335e+12,4.309497334476e-01
5.298616836494e-01,4.644928763019e+06,1.472378778467e+09,9.426376138397e+12,4.302738702321e-01
5.460228697861e-01,5.040017353409e+06,1.529749448768e+09,9.426368496657e+12,4.295899673876e-01
5.621840559228e-01,5.528465356814e+06,1.586928251054e+09,9.426360557866e+12,4.289046310753e-01
5.783452420595e-01,6.095124357910e+06,1.644181561555e+09,9.426351977837e+12,4.282136321230e-01
5.945064281962e-01,6.714802154059e+06,1.701428369230e+09,9.426342782959e+12,4.275085609595e-01
6.106676143330e-01,7.358104285545e+06,1.758613655461e+09,9.426333011802e+12,4.268192483959e-01
6.268288004697e-01,7.997320132085e+06,1.815670414900e+09,9.426322730182e+12,4.261611238626e-01
6.389496900722e-01,6.349970680361e+06,1.858318292896e+09,9.426314811113e+12,4.256893255552e-01
6.480403572741e-01,4.954754643207e+06,1.890188950407e+09,9.426308793204e+12,4.253485991954e-01
6.594036912764e-01,6.476751918236e+06,1.929886530416e+09,9.426301130599e+12,4.249435070996e-01
6.707670252788e-01,6.741779716936e+06,1.969308607113e+09,9.426293478468e+12,4.245588778456e-01
6.821303592812e-01,6.987252486330e+06,2.008753480545e+09,9.426285553846e+12,4.241938946034e-01
6.934936932836e-01,7.212671610805e+06,2.048271176531e+09,9.426277335804e+12,4.238472811749e-01
7.076978607865e-01,9.328915411153e+06,2.098706265205e+09,9.426265711462e+12,4.234385643470e-01
7.219020282895e-01,9.605075029196e+06,2.149144782532e+09,9.426253806731e+12,4.230482694044e-01
7.396572376682e-01,1.237050799592e+07,2.212398787470e+09,9.426238356856e+12,4.225726882342e-01
7.529736447022e-01,9.456669005072e+06,2.259944734286e+09,9.426226485199e+12,4.222150992886e-01
7.662900517362e-01,9.605313231690e+06,2.307628684819e+09,9.426214326852e+12,4.218438597599e-01
7.796064587703e-01,9.728525306473e+06,2.355039407096e+09,9.426202317294e+12,4.214648830771e-01
7.962519675628e-01,1.231076433183e+07,2.414542570047e+09,9.426186916421e+12,4.209807659426e-01
8.128974763553e-01,1.242456812759e+07,2.473883169379e+09,9.426171564752e+12,4.204648739090e-01
8.295429851479e-01,1.250681505846e+07,2.532975558668e+09,9.426156378427e+12,4.198851979581e-01
8.461884939404e-01,1.256170296777e+07,2.592399266309e+09,9.426140807086e+12,4.192335579159e-01
8.669953799311e-01,1.574334213467e+07,2.666836130374e+09,9.426121144290e+12,4.183547703345e-01
8.878022659217e-01,1.574771223882e+07,2.741052831498e+09,9.426101696920e+12,4.174422439267e-01
9.034074304147e-01,1.179987596353e+07,2.796723434702e+09,9.426087114325e+12,4.167590728461e-01
9.190125949077e-01,1.177746832190e+07,2.852376117609e+09,9.426072573743e+12,4.160844442745e-01
9.307164682775e-01,8.816186118497e+06,2.894200833322e+09,9.426061598562e+12,4.155862425071e-01
9.424203416472e-01,8.795424047486e+06,2.935961699813e+09,9.426050708163e+12,4.151030422075e-01
9.570501833594e-01,1.095530155994e+07,2.988188343601e+09,9.426037108538e+12,4.145282983449e-01
9.680225646435e-01,8.192088055992e+06,3.027453266163e+09,9.426026841948e+12,4.141158874766e-01
9.789949459277e-01,8.165472821676e+06,3.066783047386e+09,9.426016533430e+12,4.137230162258e-01
9.899673272118e-01,8.136846779792e+06,3.106468420178e+09,9.426005901709e+12,4.133497869700e-01
1.000939708496e+00,8.106399787855e+06,3.146556359877e+09,9.425994896253e+12,4.129957407924e-01
1.011912089780e+00,8.074298382035e+06,3.186835429872e+09,9.425983729625e+12,4.126600251422e-01
1.022884471064e+00,8.040688909689e+06,3.227419578779e+09,9.425972287778e+12,4.123392975838e-01
1.033856852348e+00,8.005700262647e+06,3.267997012007e+09,9.425960890248e+12,4.120349002221e-01
1.044829233633e+00,7.969448173596e+06,3.308686490989e+09,9.425949417999e+12,4.117448937696e-01
1.058544710238e+00,9.902925649359e+06,3.359629636190e+09,9.425935051639e+12,4.113968881977e-01
1.072260186843e+00,9.842047840121e+06,3.410483851923e+09,9.425920838741e+12,4.110607597244e-01
1.089404532599e+00,1.220402372155e+07,3.473899873856e+09,9.425903321433e+12,4.106537672741e-01
1.106548878356e+00,1.210259773959e+07,3.537337738220e+09,9.425885882915e+12,4.102581156350e-01
1.123693224112e+00,1.199870270477e+07,3.600739918468e+09,9.425868585033e+12,4.098730997930e-01
1.140837569869e+00,1.189273548371e+07,3.664348411764e+09,9.425851187986e+12,4.094992195570e-01
1.157981915625e+00,1.178508172266e+07,3.728244901160e+09,9.425833610555e+12,4.091384981852e-01
1.179412347821e+00,1.456060576624e+07,3.808670240258e+09,9.425811254965e+12,4.087091352845e-01
1.200842780016e+00,1.438824290482e+07,3.889877319000e+09,9.425788287634e+12,4.083009831923e-01
1.222273212212e+00,1.421493840151e+07,3.970830788860e+09,9.425765750015e+12,4.079146438652e-01
1.243703644408e+00,1.404149887539e+07,4.051773467316e+09,9.425743395201e+12,4.075449171299e-01
1.265134076603e+00,1.386849466957e+07,4.133283783272e+09,9.425720646642e+12,4.071855122048e-01
1.286564508799e+00,1.369656185125e+07,4.214998737222e+09,9.425697867333e+12,4.068255508826e-01
1.313352549043e+00,1.685493097428e+07,4.317542042434e+09,9.425669256987e+12,4.063478742888e-01
